name,changed_network,status,tv_network,metacritc_last_info_year,tvtime_followers,tvtime_rate,no_seasons,eps_duration,age_rating,imdb_rate,rotten_tomatoes_rate,released_year,awards_won,awards_nominated
Hell on Wheels,0.0,end,AMC,2015,0.015848954142679346,0.8230088495575223,5.0,normal,16+,0.8441558441558442,0.7021276595744681,2011.0,0.0,1.0
Hell's Kitchen,0.0,renewed,FOX,2020,0.01390747926769587,0.7979346470989483,,normal,16+,0.6883116883116883,0.5935446727524473,2005.0,0.0,5.0
Helpsters,0.0,,APPLE,2019,6.46326053197506e-05,0.7989491150442478,,normal,,0.7035616844528801,0.7720916238462437,,0.0,0.0
Helstrom,0.0,,HULU,2020,0.0001435558369413556,0.8878430547223536,,normal,,0.6805936024443076,0.7719506229779584,,0.0,0.0
He-Man and the Masters of the Universe,0.0,,NETFLIX,2020,0.0033264680587180183,0.6371681415929203,2.0,short,,0.8237974689415173,0.7432354449425339,,0.0,0.0
Here and Now,0.0,canceled,HBO,2017,0.00556619894457229,0.756637168141593,1.0,normal,,0.8095899540942192,0.7260316026749883,,0.0,0.0
Heroes Reborn,0.0,canceled,NBC,2015,0.04305873967069201,0.8119469026548675,1.0,normal,,0.8228438875541276,0.7371486594865304,,0.0,0.0
Hieroglyph,0.0,canceled,FOX,2014,0.00025181815740994956,0.812008853970854,0.0,normal,,0.7969712690266136,0.7145663170608718,,0.0,0.0
High Fidelity,1.0,renewed_but,HULU,2019,0.0004997341628769813,0.8313087470715641,,short,18+,0.7532467532467532,0.8404255319148937,2020.0,0.0,0.0
High Maintenance,0.0,renewed,HBO,2019,0.003978856801861766,0.6615044247787611,3.0,short,,0.8044364971892264,0.7188181638950254,,0.0,0.0
High School Musical: The Musical: The Series,0.0,renewed,DISNEY,2020,0.0011965151658189005,0.791675761453482,1.0,normal,7+,0.7142857142857143,0.776595744680851,2019.0,0.0,0.0
High Seas,0.0,,NETFLIX,2019,0.01693265997056997,0.9159292035398232,2.0,normal,16+,0.6493506493506493,0.790510973228204,2019.0,0.0,0.0
Highston,0.0,canceled,AMAZON,2016,0.0031873872066711887,0.7728613957438771,,normal,,0.6958735873646283,0.7673259357756468,,0.0,0.0
Hightown,0.0,renewed,STRZ,2020,1.0826232046859397e-06,0.691667040272146,0.0,short,,0.8147630169733583,0.7455161430809847,,0.0,0.0
Hilda,0.0,,NETFLIX,2018,0.007280424526872007,0.8938053097345132,1.0,short,7+,0.8831168831168831,1.0,2018.0,0.0,0.0
Hi Score Girl,0.0,,NETFLIX,2018,8.834205350237267e-05,0.9601769911504425,1.0,short,,0.8258942846580554,0.7453961787070449,,0.0,0.0
His Dark Materials,0.0,renewed,HBO,2020,0.019755708239109028,0.9535398230088498,1.0,normal,,0.8047006805391965,0.7195291229760975,,0.0,0.0
Holey Moley,0.0,renewed,ABC,2019,0.0003538012632913651,0.7146017699115045,1.0,normal,7+,0.6363636363636364,0.9042553191489362,2019.0,0.0,0.0
Hollywood,0.0,end,NETFLIX,2019,0.010154098634298572,0.9325048372152652,,normal,18+,0.7662337662337663,0.5425531914893617,2020.0,0.0,0.0
Hollywood Game Night,0.0,renewed,NBC,2019,0.0008048220903635276,0.7455752212389382,6.0,normal,7+,0.7142857142857143,0.8839652863165253,2013.0,2.0,4.0
Home: Adventures With Tip & Oh,0.0,,NETFLIX,2018,0.00030118577554362843,0.7367256637168142,4.0,short,7+,0.5194805194805194,0.6194007294650209,2016.0,0.0,0.0
Home Before Dark,0.0,renewed,APPLE,2020,1.602282342935191e-05,0.5350774129048633,1.0,normal,,0.6538801486137976,0.6933731121764631,,0.0,1.0
Homecoming,0.0,renewed,AMAZON,2019,0.013141963081682622,0.8163716814159293,1.0,short,16+,0.7402597402597403,0.9787234042553191,2018.0,0.0,2.0
Home for Christmas,0.0,,NETFLIX,2019,6.578265302480414e-05,0.8636919558818241,,normal,18+,0.7532467532467532,0.8975163718567191,2019.0,0.0,0.0
Home Free,0.0,canceled,FOX,2016,0.00010717969726390803,0.7455752212389382,2.0,normal,all,0.6753246753246753,0.6862874621155777,2015.0,0.0,0.0
